C,train,val,test,total
20,1,0,0,1
24,1,0,0,1
26,1,0,0,1
28,2,0,0,2
30,1,1,1,3
32,4,1,1,6
34,4,1,1,6
36,11,2,2,15
38,13,2,2,17
40,32,4,4,40
42,37,4,4,45
44,71,9,9,89
46,92,12,12,116
48,159,20,20,199
50,217,27,27,271
52,349,44,44,437
60,1,0,0,1
70,1,0,0,1
72,1,0,0,1
74,1,0,0,1
76,2,0,0,2
78,3,1,1,5
80,4,1,1,6
82,7,1,1,9
84,20,2,2,24
86,15,2,2,19
90,36,5,5,46
92,68,9,9,86
94,108,13,13,134
96,149,19,19,187
98,207,26,26,259
100,360,45,45,450
180,1,0,0,1
240,1,0,0,1
260,1,0,0,1
320,1,0,0,1
500,1,0,0,1
540,1,0,0,1
720,1,0,0,1
