C,n_structures,weight_inv,weight_sqrt_inv
20,1,2.364414,1.936378
24,1,2.364414,1.936378
26,1,2.364414,1.936378
28,2,1.182207,1.369226
30,3,0.788138,1.117968
32,6,0.394069,0.790523
34,6,0.394069,0.790523
36,15,0.157628,0.499971
38,17,0.139083,0.469641
40,40,0.059110,0.306168
42,45,0.052543,0.288658
44,89,0.026566,0.205256
46,116,0.020383,0.179788
48,199,0.011881,0.137266
50,271,0.008725,0.117627
52,437,0.005411,0.092630
60,1,2.364414,1.936378
70,1,2.364414,1.936378
72,1,2.364414,1.936378
74,1,2.364414,1.936378
76,2,1.182207,1.369226
78,5,0.472883,0.865974
80,6,0.394069,0.790523
82,9,0.262713,0.645459
84,24,0.098517,0.395261
86,19,0.124443,0.444236
90,46,0.051400,0.285503
92,86,0.027493,0.208805
94,134,0.017645,0.167278
96,187,0.012644,0.141602
98,259,0.009129,0.120321
100,450,0.005254,0.091282
180,1,2.364414,1.936378
240,1,2.364414,1.936378
260,1,2.364414,1.936378
320,1,2.364414,1.936378
500,1,2.364414,1.936378
540,1,2.364414,1.936378
720,1,2.364414,1.936378
