C,filename,url,atom_count,valid,reason,bytes,sha256
20,C20-Ih.xyz,https://nanotube.msu.edu/fullerene/C20/C20-Ih.xyz,20,1,OK,1268,b1aa005331f0df9bcf5360693d1202282bda01034e3f08649b480e99c44c9d44
24,C24-D6d.xyz,https://nanotube.msu.edu/fullerene/C24/C24-D6d.xyz,24,1,OK,1504,af3a93f1bdb8fda1c9c26f41cf703fa58ea30ce6410c7a114096c1c2b96fc03e
26,C26-D3h.xyz,https://nanotube.msu.edu/fullerene/C26/C26-D3h.xyz,26,1,OK,1622,518a7ed688262405051a7bbdfa49af0255ad69b6ba3f4bd4ee4307373f190225
28,C28-D2.xyz,https://nanotube.msu.edu/fullerene/C28/C28-D2.xyz,28,1,OK,1740,e5888e7218b874a6c76c581a7deb19f1e3e69edd671b796370f2ad7a48c51c93
28,C28-Td.xyz,https://nanotube.msu.edu/fullerene/C28/C28-Td.xyz,28,1,OK,1740,ab5a5e02399d037c5eb29493da7526f85d619dbdfed9dbdfddc7127ea2d011a5
30,C30-C2v-2.xyz,https://nanotube.msu.edu/fullerene/C30/C30-C2v-2.xyz,30,1,OK,1858,b62471219c101722b44a05313346e0e67141775a46377eb7fc88281597445bd4
30,C30-C2v-3.xyz,https://nanotube.msu.edu/fullerene/C30/C30-C2v-3.xyz,30,1,OK,1858,73efc3726d8a23ca1e8ef2fc5b804a08227da993fc56e0bee1c597352d14ca65
30,C30-D5h-1.xyz,https://nanotube.msu.edu/fullerene/C30/C30-D5h-1.xyz,30,1,OK,1858,89bf14129d71daa09e836f667af59826d22c2cbd5b9d2971d111df9f5ff13560
32,C32-C2-1.xyz,https://nanotube.msu.edu/fullerene/C32/C32-C2-1.xyz,32,1,OK,1976,92e76203b736b97f4a0d5e03a047bbe7f3f3ecc5dd8271aebf63fe2860ace086
32,C32-C2-4.xyz,https://nanotube.msu.edu/fullerene/C32/C32-C2-4.xyz,32,1,OK,1976,a20d133799b83415948a39acd092e102d8e587b3b997c2457b5ed5c72948c38f
32,C32-D2-2.xyz,https://nanotube.msu.edu/fullerene/C32/C32-D2-2.xyz,32,1,OK,1976,db12f2293b4f9e39b56a64c21b01293f0bbc04e272ebf299ba925324a4c492e5
32,C32-D3-6.xyz,https://nanotube.msu.edu/fullerene/C32/C32-D3-6.xyz,32,1,OK,1976,bb6c9ea46c1df1e5e42f72a73b470b52e206febaf2e47e2581edc84eec97abc3
32,C32-D3d-3.xyz,https://nanotube.msu.edu/fullerene/C32/C32-D3d-3.xyz,32,1,OK,1976,c723c1862cc840d1937120f9d680d8947bb1aad61db5f192cf11bb92401e679c
32,C32-D3h-5.xyz,https://nanotube.msu.edu/fullerene/C32/C32-D3h-5.xyz,32,1,OK,1976,3ed2d98c7fcde9ab56cdf952d356b631ae937d470b0d41a41a98d4e8e7bdabee
34,C34-C2-1.xyz,https://nanotube.msu.edu/fullerene/C34/C34-C2-1.xyz,34,1,OK,2094,befafc3593e5f1feabffa4d3bb9f59dad3ab926c3d64ee6d7ae61be11e94c69a
34,C34-C2-4.xyz,https://nanotube.msu.edu/fullerene/C34/C34-C2-4.xyz,34,1,OK,2094,5361f6fff077d8cbfeab9b98473f78094af41bbbe5f96e6e7ce80ec60173bdf3
34,C34-C2-5.xyz,https://nanotube.msu.edu/fullerene/C34/C34-C2-5.xyz,34,1,OK,2094,37695282ee8be988954f601327aa6f5b18e7e7a2ef7d93cc99728bbd8f784eb9
34,C34-C3v-6.xyz,https://nanotube.msu.edu/fullerene/C34/C34-C3v-6.xyz,34,1,OK,2094,599947d51de3cbd7d4c6765b7a3a61ccb5c703270988754940e1ddd50080e980
34,C34-Cs-2.xyz,https://nanotube.msu.edu/fullerene/C34/C34-Cs-2.xyz,34,1,OK,2094,8293c281a7fd70a1663df04fd820439064bf4f70a96a1f06311fa77834f3b1b6
34,C34-Cs-3.xyz,https://nanotube.msu.edu/fullerene/C34/C34-Cs-3.xyz,34,1,OK,2094,1de76f50c7aebab332607fdde0c8600f46b0b775321eb5bac7a3ae6bc9fd4b6c
36,C36-C1-3.xyz,https://nanotube.msu.edu/fullerene/C36/C36-C1-3.xyz,36,1,OK,2212,34746e29101b33cf31c949559516d1207d82d9dbc28894de9880456773545efb
36,C36-C1-7.xyz,https://nanotube.msu.edu/fullerene/C36/C36-C1-7.xyz,36,1,OK,2212,4eeb100e6d213f05cae7c3dd35db2b0620ad91c2e5faa7a29f4c27ac2b2943ba
36,C36-C2-1.xyz,https://nanotube.msu.edu/fullerene/C36/C36-C2-1.xyz,36,1,OK,2212,17663cca000e04d2f05ded10c4e83b942a6e0a93f1e737f63a1d30f7d668708a
36,C36-C2-10.xyz,https://nanotube.msu.edu/fullerene/C36/C36-C2-10.xyz,36,1,OK,2212,6f395469ac0d72f31b59e2ea5bb2a9d36f13b0fe3b782366b679ad0741022e33
