Material_ID	Formula	Space_Group
mp-1517942	SrEuZnBiO6	F-43m
mp-1222721	LaTiAlPbO6	F-43m
mp-2217334	Sr2GdMgRuO6	C2/m
mp-1112168	K2TlCuF6	Fm-3m
mp-1517712	SrCaTbVO6	F-43m
mp-15315	Ca4Ti3O10	Pbca
mp-9833	PrGaO3	Pm-3m
mp-673820	Ca2Fe2O5	P-1
mp-1522254	KTbEuNbO6	F-43m
mp-1183443	BeSbO3	Pm-3m
mp-1226431	Cu2Bi8Pb3Se3S13	Cm
mp-1113408	Cs2PrAuCl6	Fm-3m
mp-1112643	CsInI3	Fm-3m
mp-557032	Ba5Hf4S13	I4/mmm
mp-1070440	VPbO3	Pm-3m
mp-1228199	Ba4Cr2MoWO12	R-3m
mp-1112286	K2FeAgF6	Fm-3m
mp-1517520	SrCaHfNbO6	F-43m
mp-2045104	KMn2O4	P2/m
mp-1111431	K2RbRuF6	Fm-3m
mp-694963	Sr7SmFe4(MoO6)4	P1
mp-972058	YbTmO3	Pm-3m
mp-1227620	Ca3YTi4O12	Pm
mp-1346558	K2NaNb(OF2)2	Pmn2_1
mp-1227861	BaLaTiCrO6	F-43m
mp-1112500	Cs2TlAuBr6	Fm-3m
mp-1186812	PuTiO3	Pm-3m
mp-1521652	BaNaPrSbO6	F-43m
mp-1111289	Na2CuAsF6	Fm-3m
mp-1977728	NaNbO3	Imma
mp-989563	Rb2NaTlCl6	Fm-3m
mp-1641665	Sr3Ca(FeO3)4	P1
mp-1112872	Cs2KCeCl6	Fm-3m
mp-3601	BaUS3	Pnma
mp-1079458	Cs2NaCeCl6	Fm-3m
mp-1112531	Cs2RbAlBr6	Fm-3m
mp-686204	K3Ba2Pr2(BiO5)3	R-3m
mp-1111110	K2LiScF6	Fm-3m
mp-989577	LiTl2GaF6	Fm-3m
mp-1206325	RbCrF3	P4/mmm
mp-22664	HoRh3C	Pm-3m
mp-1214536	Ba3HoRu2O9	P6_3/mmc
mp-1111651	K2NaAsCl6	Fm-3m
mp-1522414	NaSrPrWO6	F-43m
mp-1184411	EuMoO3	Pm-3m
mp-1522875	CaEuInSbO6	F-43m
mp-1113077	Cs2NaAuF6	Fm-3m
mp-690552	SrLaMnMoO6	Pc
mp-978862	SrAlO3	Pm-3m
mp-755790	HfPbO3	Pnma
mp-1218591	Sr4PrMn5O15	C2/m
mp-1099788	Sr2Ca6Mn7FeO24	Amm2
mp-1184557	GePdO3	Pm-3m
mp-1523201	BaCaGdBiO6	P-1
mp-1221253	Na3HoTi2Nb2O12	P1
mp-1218755	Sr3UIn2O9	P2_1/c
mp-7889	Sr2YReO6	Fm-3m
mp-558189	Ag3SI	Pm-3m
mp-1521751	BaSrYSbO6	F-43m
mp-1185613	MgTlO3	Pm-3m
mp-1110947	K2YAgI6	Fm-3m
mp-1228427	Ba2CeBiO6	P2_1/c
mp-22634	K4SrU3O12	Im-3m
mp-10041	Tb3AlC	Pm-3m
mp-6192	Ba2DySbO6	Fm-3m
mp-28171	K3IO	Pm-3m
mp-1113055	Cs2KBiI6	Fm-3m
mp-1104699	Nb5PbSe8	C2/m
mp-20430	Er3PbC	Pm-3m
mp-676461	Ca2La2MgTi3O12	P2_1/c
mp-1517646	KBaCeMnO6	F-43m
mp-561947	CsHgF3	Pm-3m
mp-677659	SrLaCuRuO6	P1
mp-1227736	BaSr(SnO3)2	Fm-3m
mp-1520157	KLaTiSnO6	F-43m
mp-9200	K3AuO	Pm-3m
mp-1522826	SrEuDySbO6	F-43m
mp-1518644	KSrHfBiO6	F-43m
mp-1173239	Sr3La7Mn9FeO30	C2
mp-989579	Rb2LiTlCl6	Fm-3m
mp-1190059	EuHfS3	Pnma
mp-1111283	Na2CuAuF6	Fm-3m
mp-1218672	Sr4CeMn5O15	C2/m
mp-1111483	Rb2CuPdF6	Fm-3m
mp-1044883	LaMgTiCrO6	Pc
mp-1520906	SrCaGdBiO6	F-43m
mp-1268193	Ca8Mn7CrO23	P1
mp-1235947	Ba2LiTbIrO6	Immm
mp-1214562	Ba3PrIr2O9	P6_3/mmc
mp-17448	Ba3CaIr2O9	C2/c
mp-5986	BaTiO3	P4mm
mp-1209751	Pr2MnNiO6	P2_1/c
mp-1519857	KLaPrSbO6	Pnnn
